element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Fe	1	"200.9031"	"0.00024"	"200.903114"	"0.000007"	"(0)"	""		"0.99011115"	"7.15945911"	"3d7.(4F).4s"	"a 5F"	"2"	"3d6.4s.(6D<1/2>).4f"	"2[7/2]*"	"3"	5	7		""	"L11631c81"	
Mn	2	"200.906"	"0.0015"	"200.90653"	"0.00016"	"1"	""		"4.9362771"	"11.105520"	"3d5.(4D).4s"	"b 3D"	"2"	"3d5.(b 2F).4p"	"t 3F*"	"3"	5	7		""	"L562"	
Fe	2	"200.9180"	"0.0005"	"200.917636"	"0.000013"	"700"	""		"5.57055201"	"11.7394541"	"3d6.(1F).4s"	"c 2F"	"5/2"	"3d5.(4D).4s.4p.(3P*)"	"6P*"	"5/2"	6	6		""	"L18349c143"	
Fe	2	"200.9216"	"0.0005"	"200.921178"	"0.000010"	"340d?"	""		"7.11806748"	"13.2868609"	"3d5.4s2"	"d 4P"	"5/2"	"3d6.(5D).6p"	"4F*"	"7/2"	6	8		""	"L18349c143"	
Cu	1	"200.9252"	"0.0002"	"200.92510"	"0.00020"	"12a"	""		"1.388948"	"7.557620"	"3d9.4s2"	"2D"	"5/2"	"3d10.11p"	"2P*"	"3/2"	6	4		""	"L4958"	
Fe	2	"200.92881"	"0.00003"	"200.928808"	"0.000010"	"2200"	""		"7.11806748"	"13.2866266"	"3d5.4s2"	"d 4P"	"5/2"	"3d6.(5D).6p"	"4P*"	"5/2"	6	6		""	"L18349c139"	
Cu	2	"200.932"	"0.015"	"200.928239"	"0.000009"	"6800"	""		"8.52154401"	"14.69012064"	"3d9.4p"	"3F*"	"4"	"3d9.(2D<3/2>).4d"	"2[5/2]"	"3"	9	7		""	"L14468c171"	
Fe	2	"200.9367"	"0.0005"	"200.937497"	"0.000013"	"500d"	""		"4.7379945"	"10.9062870"	"3d6.(1D2).4s"	"c 2D"	"3/2"	"3d5.(4G).4s.4p.(3P*)"	"y 6F*"	"3/2"	4	4		""	"L18349c142"	
Mn	2	"200.948"	"0.0015"	"200.94789"	"0.00012"	"3"	""		"4.073782"	"10.241756"	"3d5.(4D).4s"	"b 5D"	"3"	"3d5.(4F).4p"	"x 5D*"	"4"	7	9		""	"L562"	
Na	2	"200.9567"	"0.0003"	""	""	"7"	""		""	""	""	""	""	""	""	""				""	"L914"	
Fe	2	"200.9990"	"0.0005"	"200.998986"	"0.000010"	"2200d"	"8.e+05"	D	"1.96448604"	"8.1308918"	"3d7"	"a 2G"	"9/2"	"3d6.(3G).4p"	"x 4G*"	"11/2"	10	12		"T6892c83"	"L18349c143"	
Na	2	"201.0093"	"0.0003"	""	""	"10"	""		""	""	""	""	""	""	""	""				""	"L914"	
Fe	1	"201.0248"	"0.00024"	"201.024852"	"0.000007"	"0d?"	""		"0.08728574"	"6.25289818"	"3d6.4s2"	"a 5D"	"2"	"3d6.(5D).4s (6D).5p"	"n 7F*"	"3"	5	7		""	"L11631c80"	
Hg	2	"201.0342"	"0.0003"	"201.03418"	"0.00006"	"3.5"	"1.1e+06"		"10.5183412"	"16.6836676"	"5d9.6s.6p"	"(2D<5/2>,3P<1>)*"	"5/2"	"5d10.8d"	"2D"	"3/2"	6	4		"T7226"	"L11760"	
Fe	2	"201.069689"	"0.000011"	"201.069688"	"0.000010"	"60000"	"8.e+07"	D+	"2.57958587"	"8.7438237"	"3d7"	"a 2H"	"9/2"	"3d6.(3G).4p"	"x 2G*"	"7/2"	10	8		"T6892c83"	"L18349c139"	
Fe	2	"201.0826"	"0.0005"	"201.082145"	"0.000010"	"1100"	""		"2.80665448"	"8.9705104"	"3d6.(3F2).4s"	"b 4F"	"9/2"	"3d6.(3D).4p"	"w 4F*"	"7/2"	10	8		""	"L18349c142"	
Fe	2	"201.09525"	"0.00009"	"201.095207"	"0.000010"	"2600"	"2.4e+06"	D	"1.96448604"	"8.1279417"	"3d7"	"a 2G"	"9/2"	"3d6.(3H).4p"	"z 2H*"	"9/2"	10	10		"T6892c83"	"L18349c139"	
Si	1	"201.097"	""	""	""	"30"	""		""	""	""	""	""	""	""	""				""	"L3521"	
Cr	2	"201.101877"	"0.000009"	"201.101880"	"0.000009"	"88"	""		"8.21476635"	"14.37801752"	"3d3.4s2"	"d 4P"	"5/2"	"3d3.(4P).4s.4p.(1P*)"	"4P*"	"3/2"	6	4		""	"L18847"	
Fe	2	"201.10631"	"0.00010"	"201.106375"	"0.000011"	"2100"	""		"2.02954815"	"8.1926616"	"3d7"	"a 2G"	"7/2"	"3d6.(3G).4p"	"x 4G*"	"5/2"	8	6		""	"L18349c139"	
Ar	2	"201.1141"	"0.0006"	"201.113972"	"0.000006"	"1"	""		"19.801086565"	"25.96396722"	"3s2.3p4.(3P).4p"	"2P*"	"1/2"	"3s2.3p4.(3P).6d"	"2D"	"3/2"	2	4		""	"L14821"	
Cr	2	"201.11691"	"0.00004"	"201.116902"	"0.000006"	"16"	"8.33e+05"		"0.00000000"	"6.16279089"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 4P*"	"5/2"	6	6		"T7574"	"L18847"	
Fe	2	"201.1441"	"0.0005"	"201.144013"	"0.000010"	"290d,bl(Fe I)?"	""		"7.4942595"	"13.6562198"	"3d5.4s2"	"c 4D"	"5/2"	"3d6.(3F2).5p"	"4F*"	"7/2"	6	8		""	"L18349c143"	
Fe	1	"201.1441"	"0.00024"	"201.144199"	"0.000010"	"0d?"	""		"0.95815732"	"7.12011198"	"3d7.(4F).4s"	"a 5F"	"3"	"3d6.4s.(6D<5/2>).4f"	"2[3/2]*"	"2"	7	5		""	"L11631c80"	
Fe	2	"201.1539"	"0.0005"	"201.154882"	"0.000010"	"250bl"	""		"8.0725728"	"14.2342003"	"3d6.(3F2).4p"	"y 2G*"	"7/2"	"3d6.(5D).6d"	"4G"	"5/2"	8	6		""	"L18349c142"	
Fe	2	"201.1665"	"0.0005"	"201.165861"	"0.000010"	"400d?"	"1.5e+06"	D	"6.72932284"	"12.8906141"	"3d5.4s2"	"b 4G"	"5/2"	"3d6.(5D<1>).4f"	"2[3]*"	"7/2"	6	8		"T6892c83"	"L18349c143"	
Fe	2	"201.1703"	"0.0005"	"201.170009"	"0.000010"	"700d?"	""		"2.58265947"	"8.7438237"	"3d6.(3P2).4s"	"b 4P"	"5/2"	"3d6.(3G).4p"	"x 2G*"	"7/2"	6	8		""	"L18349c142"	
Fe	1	"201.1926"	"0.00024"	"201.192517"	"0.000014"	"1"	""		"0.91460217"	"7.0750772"	"3d7.(4F).4s"	"a 5F"	"4"	"3d6.4s.(6D).6p"	"5F*"	"4"	9	9		""	"L11631c80"	
Mn	2	"201.1928"	"0.0006"	"201.19313"	"0.00012"	"100"	""		"4.122308"	"10.282765"	"3d5.(4G).4s"	"a 3G"	"4"	"3d5.(a 2F).4p"	"w 3F*"	"3"	9	7		""	"L562"	
Zn	2	"201.1940"	""	"201.194+"	""	"100"	""		"7.776593"	"13.93703"	"3d9.4s2"	"2D"	"5/2"	"3d9.(2D).4s.4p.(3P*)"	"2F*"	"7/2"	6	8		""	"L640"	
Ti	2	"201.20690"	"0.00005"	"201.206959"	"0.000010"	"8"	""		"3.09479326"	"9.25482619"	"3d.4s2"	"c 2D"	"3/2"	"3d2.(3F).5p"	"2D*"	"5/2"	4	6		""	"u37"	
Mn	2	"201.2119"	"0.0006"	"201.21087"	"0.00012"	"100"	""		"4.1097923"	"10.2697054"	"3d5.(4G).4s"	"a 3G"	"5"	"3d5.(a 2F).4p"	"w 3F*"	"4"	11	9		""	"L562"	
Cr	2	"201.21445"	"0.00011"	"201.214260"	"0.000008"	"7"	""		"3.10398702"	"9.26379646"	"3d5"	"b 4D"	"1/2"	"3d4.(3D).4p"	"x 4P*"	"3/2"	2	4		""	"L18847"	
Ne	2	"201.2149"	"0.0010"	"201.214742"	"0.000013"	"80"	""		"31.52821065"	"37.6880053"	"2s2.2p4.(3P).3p"	"2P*"	"1/2"	"2s2.2p4.(3P).5s"	"2P"	"3/2"	2	4		""	"L1406"	
Fe	2	"201.2231"	"0.0005"	"201.222628"	"0.000010"	"2100d?"	"2.3e+06"	D	"2.84411707"	"9.0036704"	"3d6.(3F2).4s"	"b 4F"	"5/2"	"3d6.(3D).4p"	"w 4D*"	"5/2"	6	6		"T6892c83"	"L18349c143"	
S	2	"201.2401"	"0.0009"	"201.2391"	"0.0004"	"1100"	""		"13.733307"	"19.892356"	"3s2.3p2.(3P).3d"	"4F"	"9/2"	"3s2.3p2.(3P<1>).4f"	"2[4]*"	"9/2"	10	10		""	"L5883"	
Cr	2	"201.24430"	"0.00002"	"201.244303"	"0.000007"	"26"	""		"3.10490646"	"9.26379646"	"3d5"	"b 4D"	"3/2"	"3d4.(3D).4p"	"x 4P*"	"3/2"	4	4		""	"L18847"	
Cr	2	"201.260323"	"0.000010"	"201.260329"	"0.000007"	"71"	""		"3.10539681"	"9.26379646"	"3d5"	"b 4D"	"5/2"	"3d4.(3D).4p"	"x 4P*"	"3/2"	6	4		""	"L18847"	
Fe	2	"201.26157"	"0.00005"	"201.261565"	"0.000010"	"1200"	""		"7.12826481"	"13.2866266"	"3d5.4s2"	"d 4P"	"3/2"	"3d6.(5D).6p"	"4P*"	"5/2"	4	6		""	"L18349c139"	
Fe	2	"201.2685"	"0.0005"	"201.268450"	"0.000010"	"260bl(Fe III)"	""		"7.9877322"	"14.1458834"	"3d6.(3F2).4p"	"z 2F*"	"5/2"	"3d6.(5D).6d"	"114094"	"5/2"	6	6		""	"L18349c142"	
Ti	2	"201.2721"	"0.0002"	"201.272145"	"0.000013"	"2"	""		"4.00165030"	"10.15968845"	"3d3"	"d 2D1"	"3/2"	"3d2.(3F).4f"	"4F*"	"5/2"	4	6		""	"u37"	
Cr	2	"201.27795"	"0.00007"	"201.277940"	"0.000009"	"16"	""		"4.49721898"	"10.65507988"	"3d5"	"a 2G"	"9/2"	"3d4.(1F).4p"	"v 2G*"	"9/2"	10	10		""	"L18847"	
Mn	2	"201.2799"	"0.0006"	"201.27958"	"0.00016"	"30"	""		"4.3099509"	"10.467761"	"3d6"	"b 3G"	"5"	"3d5.(a 2G).4p"	"x 3H*"	"5"	11	11		""	"L562"	
Cu	2	"201.298037"	"0.000015"	"201.298041"	"0.000008"	"1800000"	"2.5e+08"	C	"8.23486741"	"14.39211349"	"3d9.4p"	"3P*"	"2"	"3d9.(2D<5/2>).4d"	"2[5/2]"	"3"	5	7		"T7181"	"L19804c167"	
Mn	2	"201.3157"	"0.0018"	"201.31498"	"0.00012"	"20*"	""		"4.1260367"	"10.282765"	"3d5.(4G).4s"	"a 3G"	"3"	"3d5.(a 2F).4p"	"w 3F*"	"3"	7	7		""	"L562"	
Mn	2	"201.3157"	"0.0018"	"201.31690"	"0.00020"	"20*"	""		"4.9356240"	"11.092293"	"3d5.(4D).4s"	"b 3D"	"3"	"3d5.(b 2F).4p"	"x 1G*"	"4"	7	9		""	"L562"	
Fe	2	"201.32604"	"0.00003"	"201.326022"	"0.000010"	"10000"	"2.7e+07"	D+	"1.72398297"	"7.8803734"	"3d7"	"a 4P"	"1/2"	"3d6.(3F2).4p"	"x 4D*"	"1/2"	2	2		"T6892c83"	"L18349c139"	
Fe	1	"201.3440"	"0.00024"	"201.344035"	"0.000017"	"0?"	""		"0.91460217"	"7.0704419"	"3d7.(4F).4s"	"a 5F"	"4"	"3d6.4s.(6D).6p"	"7F*"	"3"	9	7		""	"L11631c80"	
Cr	2	"201.36182"	"0.00010"	"201.361843"	"0.000006"	"6"	"1.57e+05"		"0.00000000"	"6.15529544"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 6D*"	"7/2"	6	8		"T7574"	"L18847"	
Fe	2	"201.36632"	"0.00008"	"201.366323"	"0.000013"	"4000"	"2.7e+07"	D+	"3.33923354"	"9.4943920"	"3d6.(3P2).4s"	"b 2P"	"1/2"	"3d6.(1S2).4p"	"x 2P*"	"1/2"	2	2		"T6892c83"	"L18349c139"	
Cr	2	"201.369430"	"0.000014"	"201.369412"	"0.000017"	"53"	""		"6.6047631"	"12.7598272"	"3d3.4s2"	"c 4F"	"5/2"	"3d3.(4F).4s.4p.(1P*)"	"s 4G*"	"7/2"	6	8		""	"L18847"	
Mn	2	"201.3895"	"0.0006"	"201.38921"	"0.00012"	"100"	""		"4.1260367"	"10.280496"	"3d5.(4G).4s"	"a 3G"	"3"	"3d5.(a 2F).4p"	"w 3F*"	"2"	7	5		""	"L562"	
Mg	2	"201.391"	""	"201.406"	""	""	""		"54.252"	"60.4057"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"5/2"	"2p5.(2P*).3s.4s.(3S)"	"4P*"	"5/2"	6	6		""	"L10581"	
Cr	2	"201.411555"	"0.000013"	"201.411572"	"0.000025"	"59"	""		"6.64136871"	"12.7951446"	"3d3.4s2"	"c 4F"	"7/2"	"3d3.(4F).4s.4p.(1P*)"	"s 4G*"	"9/2"	8	10		""	"L18847"	
Fe	2	"201.4128"	"0.0005"	"201.412820"	"0.000017"	"1300bl(Fe II)*"	""		"2.77846330"	"8.9322010"	"3d6.(3P2).4s"	"b 4P"	"1/2"	"3d6.(3D).4p"	"w 4P*"	"3/2"	2	4		""	"L18349c142"	
Fe	2	"201.4128"	"0.0005"	"201.413260"	"0.000010"	"1300bl(Fe II)*"	""		"7.11806748"	"13.2717918"	"3d5.4s2"	"d 4P"	"5/2"	"3d6.(5D).6p"	"6D*"	"3/2"	6	4		""	"L18349c142"	
Ar	2	"201.4311"	"0.0006"	"201.430870"	"0.000005"	"1"	""		"18.06063988"	"24.21382629"	"3s2.3p4.(3P).3d"	"2P"	"3/2"	"3s2.3p4.(3P<2>).4f"	"2[1]*"	"3/2"	4	4		""	"L14821"	
Cr	2	"201.435437"	"0.000016"	"201.43546"	"0.00003"	"44"	""		"6.5775271"	"12.7305734"	"3d3.4s2"	"c 4F"	"3/2"	"3d3.(4F).4s.4p.(1P*)"	"s 4G*"	"5/2"	4	6		""	"L18847"	
Ne	2	"201.4367"	"0.0010"	"201.436743"	"0.000013"	"12"	""		"31.34301510"	"37.4960221"	"2s2.2p4.(3P).3p"	"2S*"	"1/2"	"2s2.2p4.(3P).4d"	"2D"	"3/2"	2	4		""	"L1406"	
Fe	2	"201.43699"	"0.00002"	"201.436985"	"0.000010"	"3000"	"1.4e+07"	E	"7.11806748"	"13.2710671"	"3d5.4s2"	"d 4P"	"5/2"	"3d5.(2D3).4s.4p.(3P*)"	"4D*"	"7/2"	6	8		"T6892c83"	"L18349c139"	
Cr	2	"201.44389"	"0.00005"	"201.443919"	"0.000009"	"12"	""		"8.21476635"	"14.36755424"	"3d3.4s2"	"d 4P"	"5/2"	"3d4.(5D<4>).5f"	"2[4]*"	"7/2"	6	8		""	"L18847"	
Fe	2	"201.4477"	"0.0005"	"201.448117"	"0.000013"	"700d?"	""		"2.80665448"	"8.9593142"	"3d6.(3F2).4s"	"b 4F"	"9/2"	"3d6.(1G2).4p"	"x 2H*"	"11/2"	10	12		""	"L18349c142"	
S	2	"201.4658"	"0.0009"	"201.4657"	"0.0003"	"160"	""		"13.701330"	"19.853452"	"3s2.3p2.(3P).3d"	"4F"	"7/2"	"3s2.3p2.(3P<0>).4f"	"2[3]*"	"7/2"	8	8		""	"L5883"	
Fe	2	"201.4696"	"0.0005"	"201.469605"	"0.000013"	"600d?"	""		"3.22131344"	"9.3733170"	"3d6.(3G).4s"	"a 4G"	"7/2"	"3d6.(3D).4p"	"w 2F*"	"7/2"	8	8		""	"L18349c142"	
Fe	2	"201.4940"	"0.0005"	"201.492852"	"0.000010"	"400bl(Fe I)"	""		"7.5576776"	"13.7089715"	"3d6.(3H).4p"	"z 4G*"	"7/2"	"3d6.(3G).4d"	"2F"	"7/2"	8	8		""	"L18349c143"	
Fe	1	"201.4940"	"0.00024"	"201.493677"	"0.000014"	"2"	""		"0.85899575"	"7.0102645"	"3d7.(4F).4s"	"a 5F"	"5"	"3d6.4s.(6D).6p"	"7P*"	"4"	11	9		""	"L11631c80"	
Fe	2	"201.5108"	"0.0005"	"201.510917"	"0.000010"	"330"	""		"6.72907574"	"12.8798182"	"3d5.4s2"	"b 4G"	"9/2"	"3d6.(5D<1>).4f"	"2[4]*"	"7/2"	10	8		""	"L18349c142"	
Hg	2	"201.5171"	"0.0003"	"201.51697"	"0.00010"	"4"	"8.5e+06"		"11.8162072"	"17.9667648"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"5/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,5/2]"	"3/2"	6	4		"T7226"	"L11760"	
Fe	2	"201.52001"	"0.00013"	"201.520009"	"0.000011"	"400"	"4.5e+06"	D	"7.11806748"	"13.2685325"	"3d5.4s2"	"d 4P"	"5/2"	"3d5.(2D3).4s.4p.(3P*)"	"4D*"	"5/2"	6	6		"T6892c83"	"L18349c139"	
Ar	2	"201.53171"	"0.00008"	"201.531681"	"0.000005"	"6"	""		"19.549011775"	"25.69912067"	"3s2.3p4.(3P).4p"	"4D*"	"5/2"	"3s2.3p4.(3P).7s"	"4P"	"3/2"	6	4		""	"L11520"	
Fe	2	"201.53546"	"0.00005"	"201.535340"	"0.000013"	"500"	""		"6.8070159"	"12.9570132"	"3d6.(3P1).4s"	"c 2P"	"3/2"	"3d5.(2D3).4s.4p.(3P*)"	"4F*"	"3/2"	4	4		""	"L18349c139"	
Cr	2	"201.54045"	"0.00006"	"201.540398"	"0.000013"	"10"	""		"4.75043408"	"10.9002770"	"3d4.(3D).4s"	"c 4D"	"5/2"	"3d3.(4F).4s.4p.(3P*)"	"u 4F*"	"7/2"	6	8		""	"L18847"	
Fe	2	"201.548729"	"0.000013"	"201.548736"	"0.000010"	"28000"	"2.3e+07"	D+	"1.69526130"	"7.8448498"	"3d7"	"a 4P"	"3/2"	"3d6.(3F2).4p"	"x 4D*"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Cu	2	"201.55822"	"0.00004"	"201.558222"	"0.000009"	"1400000"	"2.1e+07"	C+	"2.97541889"	"9.12471804"	"3d9.4s"	"3D"	"1"	"3d9.4p"	"1P*"	"1"	3	3		"T4280n"	"L19804c167"	
Fe	1	"201.5782"	"0.00024"	"201.577951"	"0.000007"	"0"	""		"0.05156912"	"6.20026651"	"3d6.4s2"	"a 5D"	"3"	"3d6.(5D).4s (6D).5p"	"n 7D*"	"2"	7	5		""	"L11631c80"	
Fe	2	"201.58517"	"0.00010"	"201.585208"	"0.000010"	"600"	"1.3e+06"	D	"6.73026350"	"12.8787396"	"3d5.4s2"	"b 4G"	"7/2"	"3d6.(5D<1>).4f"	"2[4]*"	"9/2"	8	10		"T6892c83"	"L18349c139"	
Al	2	"201.5864"	""	"201.5864"	""	"70"	""		"11.821968"	"17.970406"	"3s.4s"	"1S"	"0"	"3s.9p"	"1P*"	"1"	1	3		""	"L4575"	
Cu	2	"201.58660"	"0.00024"	"201.58649"	"0.00012"	"39000"	""		"11.0254191"	"17.173856"	"3d8.4s2"	"3P"	"0"	"3d8.(3P).4s.4p.(3P*)"	"3S*"	"1"	1	3		""	"L19804c170"	
Cr	2	"201.588357"	"0.000008"	"201.588358"	"0.000009"	"100"	""		"6.68566402"	"12.83404403"	"3d3.4s2"	"c 4F"	"9/2"	"3d3.(4F).4s.4p.(1P*)"	"s 4G*"	"11/2"	10	12		""	"L18847"	
Al	2	"201.6053"	""	"201.6052"	""	"150"	"9.82e+07"	C+	"11.846618"	"17.994485"	"3s.3d"	"3D"	"3"	"3s.8f"	"3F*"	"4"	7	9		"T6298c4,LS"	"L4575"	
Fe	2	"201.60793"	"0.00004"	"201.607954"	"0.000010"	"9000"	"1.9e+07"	D+	"2.84411707"	"8.9918996"	"3d6.(3F2).4s"	"b 4F"	"5/2"	"3d6.(3D).4p"	"w 4D*"	"3/2"	6	4		"T6892c83"	"L18349c139"	
Al	2	"201.6193"	""	"201.6189"	""	"80"	"1.10e+07"	D	"11.846618"	"17.994066"	"3s.3d"	"3D"	"3"	"3s.8f"	"3F*"	"3"	7	7		"T6298c4,LS"	"L4575"	
Mn	2	"201.620"	"0.0015"	"201.62060"	"0.00012"	"5"	""		"4.122308"	"10.2697054"	"3d5.(4G).4s"	"a 3G"	"4"	"3d5.(a 2F).4p"	"w 3F*"	"4"	9	9		""	"L562"	
Al	2	"201.6234"	""	"201.6234"	""	"150"	"8.73e+07"	C+	"11.846753"	"17.994066"	"3s.3d"	"3D"	"2"	"3s.8f"	"3F*"	"3"	5	7		"T6298c4,LS"	"L4575"	
Cr	2	"201.62983"	"0.00017"	"201.62990"	"0.00005"	"4"	""		"6.80524292"	"12.9523563"	"3d4.(a 3F).4s"	"d 4F"	"7/2"	"3d3.(a 2D).4s.4p.(3P*)"	"o 4D*"	"5/2"	8	6		""	"L18847"	
Al	2	"201.6334"	""	"201.6332"	""	"50"	"1.53e+07"	D	"11.846753"	"17.993766"	"3s.3d"	"3D"	"2"	"3s.8f"	"3F*"	"2"	5	5		"T6298c4,LS"	"L4575"	
Al	2	"201.6369"	""	"201.6370"	""	"100"	"8.25e+07"	C	"11.846869"	"17.993766"	"3s.3d"	"3D"	"1"	"3s.8f"	"3F*"	"2"	3	5		"T6298c4,LS"	"L4575"	
Fe	1	"201.65087"	"0.00011"	"201.650746"	"0.000014"	"16"	""		"0.85899575"	"7.0054738"	"3d7.(4F).4s"	"a 5F"	"5"	"3d6.4s.(6D).6p"	"7F*"	"5"	11	11		""	"L11631"	
O	2	"201.6589"	""	"201.65822"	""	"10"	"8.57e+06"	C	"25.8373471"	"31.983597"	"2s2.2p2.(3P).3p"	"4P*"	"3/2"	"2s2.2p2.(3P).5s"	"4P"	"5/2"	4	6		"T5723LS"	"L10549"	
Fe	2	"201.6725"	"0.0005"	"201.67231"	"0.00004"	"400d?"	""		"6.22249688"	"12.3683178"	"3d6.(3F1).4s"	"c 4F"	"7/2"	"3d5.(4G).4s.4p.(3P*)"	"2G*"	"9/2"	8	10		""	"L18349c142"	
Fe	2	"201.67862"	"0.00011"	"201.678719"	"0.000011"	"400"	""		"7.5682105"	"13.7138361"	"3d6.(3H).4p"	"z 4G*"	"5/2"	"3d6.(3G).4d"	"4F"	"3/2"	6	4		""	"L18349c139"	
Cu	2	"201.68964"	"0.00006"	"201.689673"	"0.000007"	"1700000"	"8.1e+06"	C+	"2.71881633"	"8.86410828"	"3d9.4s"	"3D"	"3"	"3d9.4p"	"1D*"	"2"	7	5		"T3103n"	"L19804c167"	
Cr	2	"201.6921"	"0.0002"	"201.692190"	"0.000006"	"3"	"2.82e+05"		"0.00000000"	"6.14521527"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 6D*"	"3/2"	6	4		"T7574"	"L18847"	
Fe	2	"201.7033"	"0.0005"	"201.702591"	"0.000010"	"1800"	""		"2.02954815"	"8.1744466"	"3d7"	"a 2G"	"7/2"	"3d6.(3G).4p"	"x 4G*"	"7/2"	8	8		""	"L18349c142"	
Mn	2	"201.705"	"0.0015"	"201.70543"	"0.00024"	"40"	""		"3.937888"	"10.082700"	"3d6"	"a 3F"	"2"	"3d5.(a 2D).4p"	"x 3P*"	"1"	5	3		""	"L562"	
Cr	2	"201.70817"	"0.00007"	"201.708133"	"0.000009"	"9*"	""		"8.18422748"	"14.32895709"	"3d3.4s2"	"d 4P"	"3/2"	"3d4.(5D<3>).5f"	"2[2]*"	"5/2"	4	6		""	"L18847"	
Cr	2	"201.70817"	"0.00007"	"201.70815"	"0.00005"	"9*"	""		"6.6047631"	"12.7494921"	"3d3.4s2"	"c 4F"	"5/2"	"3d3.(4P).4s.4p.(3P*)"	"q 4D*"	"7/2"	6	8		""	"L18847"	
Fe	2	"201.70940"	"0.00002"	"201.709408"	"0.000010"	"12000"	"1.5e+07"	D+	"1.72398297"	"7.8686738"	"3d7"	"a 4P"	"1/2"	"3d6.(3F2).4p"	"x 4D*"	"3/2"	2	4		"T6892c83"	"L18349c139"	
Na	2	"201.7137"	"0.0003"	""	""	"160"	""		""	""	""	""	""	""	""	""				""	"L914"	
Fe	1	"201.7159"	"0.00024"	"201.715675"	"0.000006"	"0"	""		"0.0000000"	"6.14449991"	"3d6.4s2"	"a 5D"	"4"	"3d6.(5D).4s (6D).5p"	"n 7D*"	"4"	9	9		""	"L11631c80"	
Mn	2	"201.717"	"0.0015"	"201.71626"	"0.00012"	"5"	""		"3.925593"	"10.070075"	"3d6"	"a 3F"	"3"	"3d5.(a 2D).4p"	"z 1F*"	"3"	7	7		""	"L562"	
Hg	2	"201.7249"	"0.0003"	"201.72481"	"0.00009"	"7"	"1.0e+07"		"12.0383417"	"18.1825633"	"5d9.6s.6p"	"(2D<3/2>,3P<0>)*"	"3/2"	"5d9.6p2"	"(2D<5/2>,3P<0>)"	"5/2"	4	6		"T7226"	"L11760"	
Cr	2	"201.73611"	"0.00003"	"201.736112"	"0.000009"	"22"	""		"8.21476635"	"14.35864387"	"3d3.4s2"	"d 4P"	"5/2"	"3d4.(5D<4>).5f"	"2[3]*"	"5/2"	6	6		""	"L18847"	
Cu	2	"201.76096"	"0.00016"	"201.760977"	"0.000013"	"160000"	""		"8.8687809"	"15.01190137"	"3d8.4s2"	"3F"	"3"	"3d9.(2D<5/2>).5p"	"2[5/2]*"	"3"	7	7		""	"L19804c167"	
Fe	2	"201.78508"	"0.00009"	"201.785041"	"0.000010"	"5000"	"6.1e+06"	D+	"2.82812245"	"8.9705104"	"3d6.(3F2).4s"	"b 4F"	"7/2"	"3d6.(3D).4p"	"w 4F*"	"7/2"	8	8		"T6892c83"	"L18349c139"	
C	2	"201.794"	"0.004"	"201.7926"	"0.0003"	"76ql"	"1.32e+07"	B	"16.3317419"	"22.473900"	"2s2.3p"	"2P*"	"1/2"	"2s2.6s"	"2S"	"1/2"	2	2		"T5109LS"	"L1176"	
Ti	2	"201.805"	""	"201.804346"	"0.000017"	"0:"	""		"1.22137014"	"7.3631706"	"3d3"	"a 2P"	"1/2"	"3d.(2D).4s.4p.(3P*)"	"2P*"	"3/2"	2	4		""	"L5432"	
Cr	2	"201.82027"	"0.00014"	"201.820169"	"0.000017"	"4*"	""		"8.34959270"	"14.4909117"	"3d4.(3H).4p"	"y 4G*"	"5/2"	"3d4.(5D).6d"	"4G"	"5/2"	6	6		""	"L18847"	
Cr	2	"201.82027"	"0.00014"	"201.820500"	"0.000017"	"4*"	""		"6.42099470"	"12.5623036"	"3d4.(5D).4p"	"z 4F*"	"7/2"	"3d4.(a 3F).5s"	"f 4F"	"7/2"	8	8		""	"L18847"	
C	2	"201.838"	"0.004"	"201.8380"	"0.0003"	"99ql"	"2.63e+07"	B	"16.3331238"	"22.473900"	"2s2.3p"	"2P*"	"3/2"	"2s2.6s"	"2S"	"1/2"	4	2		"T5109LS"	"L1176"	
Na	2	"201.8409"	"0.0003"	""	""	"40"	""		""	""	""	""	""	""	""	""				""	"L914"	
Fe	2	"201.85476"	"0.00009"	"201.854728"	"0.000010"	"600"	"9.e+06"	E	"7.12826481"	"13.2685325"	"3d5.4s2"	"d 4P"	"3/2"	"3d5.(2D3).4s.4p.(3P*)"	"4D*"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Ne	2	"201.8651"	"0.0010"	"201.865075"	"0.000013"	"12"	""		"31.36223939"	"37.5021924"	"2s2.2p4.(3P).3p"	"4S*"	"3/2"	"2s2.2p4.(3P).4d"	"4P"	"1/2"	4	2		""	"L1406"	
